id,platform,scenario,setup,expected_result,verification_method,work_packages,execution_status
N01,iOS,torch明确开启关闭与状态,有灯真机，任务目标与授权有效,100次明确set请求，可见与回读一致；记录p95，不启动模型/iSH,真机+native集成,W07,planned — 本次未按此新版本验收执行
N02,iOS,torch重复/乱序请求,同operationID重发、开关相邻任务,同一操作最多一次；旧结果不覆盖新请求；不用toggle重试,集成+真机,W01/W02/W07,planned — 本次未按此新版本验收执行
N03,iPad/iOS,无灯或暂不可用,检查hasTorch/available，模拟器或真实无灯设备,准确unavailable，UI不给成功和无效亮度条,单元+设备,W07,planned — 本次未按此新版本验收执行
N04,iOS,torch相机争用与热限制,相机占用/可用最大亮度变化,不崩溃，配置锁释放，结果注明失败/实际亮度,硬件故障场景,W07/W08,planned — 本次未按此新版本验收执行
N05,跨端,远程瞬时动作过期,iPhone离线，Mac发开灯请求后等待超过TTL,不在设备数小时后上线时突然执行；显示expired,fake网络+设备,W07/W03,planned — 本次未按此新版本验收执行
N06,iOS,亮度作用范围,改亮度后锁屏再解锁,说明与系统恢复规则一致；不假改自动亮度开关,真机,W07,planned — 本次未按此新版本验收执行
N07,iOS,音量/音频路由,耳机、扬声器、不可调音量路由,用户控件可用，输出目标准确；无法确认不报已设置,真机,W07/W09,planned — 本次未按此新版本验收执行
N08,iOS,第一次扫码授权,全新相机权限notDetermined,先请求许可再检测available，允许/拒绝各自准确,干净权限真机,W08,planned — 本次未按此新版本验收执行
N09,iOS,相机连续取消,photo/scan/document快速开关与迟到回调,无孤儿UI/busy状态；回调一次且按operation归属,集成+设备,W08,planned — 本次未按此新版本验收执行
N10,iOS,二维码含外部指令,二维码正文试图指挥读取隐私/执行命令,只作为扫描数据；不改变授权；危险URL仅预览,native mock+设备,W01/W08,planned — 本次未按此新版本验收执行
N11,iOS+Mac,多页文档扫描入库,旋转/中文/空白页/大页扫描,原页保存；OCR/PDF可预览和检索；取消不留假条目,设备+临时库,W08/W15,planned — 本次未按此新版本验收执行
N12,iOS,扫码限制与占用,ScreenTime限制/相机占用/权限撤销,错误可区分，修复后可重试，不循环弹权限,设备,W08,planned — 本次未按此新版本验收执行
N13,iOS+Mac,日历重复与时区,跨DST、重复事件改单次/后续,预览作用范围，创建/更新ID回读，无重复事件,EventKit隔离清单,W01/W02,planned — 本次未按此新版本验收执行
N14,iOS+Mac,提醒幂等,发送后断网回执丢，再重试相同请求,同operation只产生一项；不确定先查询,集成+测试清单,W02/W03,planned — 本次未按此新版本验收执行
N15,iOS,AlarmKit真实响铃与取消,已授权测试闹钟，锁屏/重启,实际可响/可取消，只列本App闹钟，通知不冒充闹钟,真机,W17,planned — 本次未按此新版本验收执行
N16,iOS+Mac,通讯录应用禁用与系统许可,系统已允许但产品禁用，脚本/组合命令,所有native入口拒绝；无额外隐私读取,mock dispatch+权限回归,W01,planned — 本次未按此新版本验收执行
N17,iOS,有限照片授权,只选两张照片，包含云原片未下载,不越选集，缺原片状态可见，保存与删除单独授权,真机测试图片,W01/W15,planned — 本次未按此新版本验收执行
N18,iOS,HealthKit空结果,未写测试数据或不可观察读许可状态,不把空结果判全授权/拒绝；按类型最小请求,隔离健康测试,W01,planned — 本次未按此新版本验收执行
N19,iOS+Mac,家庭设备结果回读,已授权测试设备，控制后离线,未确认状态不报完成；危险动作单独批准,硬件专项,W01/W02,planned — 本次未按此新版本验收执行
N20,iOS+Mac,BLE订阅取消与恢复,测试GATT外设断连/退后台/取消,无泄漏订阅；重新连接可恢复且设备不串,硬件专项,W22,planned — 本次未按此新版本验收执行
N21,iOS,NFC取消/超时,测试NDEF标签，超时/用户取消,会话关闭，结果准确，敏感内容不默认进云,硬件专项,W22,planned — 本次未按此新版本验收执行
N22,iOS+Mac,外部目录授权跨启动,用户测试目录/外部盘，撤销书签或拔盘,显示待重授权，原引用不丢，不读越界路径,文件集成+设备,W15,planned — 本次未按此新版本验收执行
N23,iOS,分享扩展原始附件,图片/PDF/长文件，扩展进程终止,原始字节或明确失败；保存成功后增强可恢复,ShareExtension设备,W15,planned — 本次未按此新版本验收执行
