id,domain,action,ios_current,mac_current,route,constraints,next_deliverable,priority,source
01,设备与即时动作,手电筒开/关/状态,缺失；Camera/Device无torch,无对应闪光灯；应选iPhone目标,原生直接,hasTorch+isTorchAvailable+配置锁；不可把无硬件当成功,独立原生服务，中文直达、幂等set、状态回读,P0,https://developer.apple.com/documentation/avfoundation/avcapturedevice/hastorch
02,设备与即时动作,手电筒亮度,缺失,经已授权iPhone执行,原生直接,浮点范围及当时最大亮度；热限制和相机争用,level夹紧、错误归因、实际level收据；无频闪默认,P1,https://developer.apple.com/documentation/avfoundation/avcapturedevice/settorchmodeon(level:)
03,设备与即时动作,屏幕亮度,Device无此动作,需单独核实显示器公开接口,原生直接,iOS主屏0到1，锁定设备后系统恢复原亮度,set/status及锁屏恢复说明；不改自动亮度设置,P1,https://developer.apple.com/documentation/uikit/uiscreen/brightness
04,设备与即时动作,电量/存储/温度/设备状态,Device已有info/battery/storage,已有部分宿主状态,原生只读,能力最小输出；不默认发送设备持久标识,动作级查询及低电/热状态调度,P1,https://developer.apple.com/documentation/uikit/uidevice
05,设备与即时动作,应用使用时保持亮屏,已有KeepScreenAwakeController,需按任务核实电源声明,应用生命周期,仅真实任务与用户选择；不能等同禁止系统睡眠永不中断,受控超时、结束恢复、明确执行位置,P1,https://developer.apple.com/documentation/uikit/uiapplication/isidletimerdisabled
06,设备与即时动作,触觉/震动,LeoHaptics已有反馈，非通用Agent动作,能力依设备；不模拟手机硬件,原生直接,硬件支持、减少动态/触觉偏好；不可持续滥用,动作回执触觉一致，按需开放短反馈,P1,https://developer.apple.com/documentation/corehaptics
07,设备与即时动作,媒体音量,Media有零尺寸MPVolumeView slider方案，可靠性待测,可选公开系统/应用音量适配,系统UI优先,官方MPVolumeView面向用户交互；不能承诺铃声全局修改,显示原生音量控件、回读；不可靠自动set准确降级,P1,https://developer.apple.com/documentation/mediaplayer/mpvolumeview
08,设备与即时动作,AirPlay/音频输出设备,播放器已有；统一输出选择未闭环,Electron录音需设备选择与变化监听,系统UI,由用户选择路由，不能静默劫持设备,统一音频路由面板和耳机/通话中断恢复,P1,https://developer.apple.com/documentation/avkit/avroutepickerview
09,设备与即时动作,Wi-Fi/蓝牙/蜂窝/飞行模式开关,Open有App-Prefs不稳定深链,Mac各能力独立授权核实,受限/用户接续,iOS没有普通App任意系统开关权限；专用网络API不是总开关,提供公开设置入口/用户已配置Shortcut，返回handedOff,边界,https://developer.apple.com/documentation/technotes/tn3111-ios-wifi-api-overview
10,设备与即时动作,静音/低电量/自动亮度系统开关,未有可靠公开通用动作,分设备API核实,受限/用户接续,不能把读取状态或私有深链当作修改权限,能力目录明确不支持项和手动/Shortcut替代,边界,https://support.apple.com/guide/security/security-of-runtime-process-sec15bfe098e/web
11,捕获与感知,拍照前后摄像头,Camera photo已有,浏览器/原生相机授权待完整验证,前台交互,首次许可、可见拍摄、相机占用和取消,operationID统一取消，照片保存/识别/收藏闭环,P1,https://developer.apple.com/documentation/avfoundation
12,捕获与感知,扫码/二维码,已有；首次isAvailable检查顺序有缺陷,可由摄像头或导入图识别,前台交互,先硬件→授权→可用；Screen Time与占用分别解释,首次扫码可请求授权、危险URL仅预览,P0,https://developer.apple.com/documentation/visionkit/datascannerviewcontroller/isavailable
13,捕获与感知,多页文档扫描,Camera scan-document已有,导入/扫描源适配待补,前台交互,系统扫描界面、取消、页面方向和尺寸,扫描→OCR→可检索PDF→藏宝阁；原页保留,P1,https://developer.apple.com/documentation/visionkit/vndocumentcameraviewcontroller
14,捕获与感知,OCR/条码/图像理解,Vision offload已有,藏宝阁图片当前partial，OCR engine未接,原生直接,大图降采样、语言/旋转、原始图不丢,Mac用Vision补原生OCR；统一文字与区域artifact,P1,https://developer.apple.com/documentation/vision
15,捕获与感知,选择与读取照片,Photos已有,按用户选文件/Photos授权路径,系统授权,有限照片集、iCloud原片按需；不是所有相册默认可读,授权范围及缺原片状态，批量预算和取消,P1,https://developer.apple.com/documentation/photosui/photospicker
16,捕获与感知,保存/收藏/删除照片,Photos已有confirm写路径,导出与原生保存需适配,授权写入,用户选定范围、删除前预览；系统确认仍保留,写前摘要→写→资产ID回读；批量部分失败结果,P1,https://developer.apple.com/documentation/photos
17,捕获与感知,视频/音频转码与压缩,已有FFmpeg原生offload,已有文件/CLI基础,本地媒体任务,格式、空间、能耗、断点与取消,共享artifact格式契约，独立后台任务与真实进度,P1,https://developer.apple.com/documentation/backgroundtasks/performing-long-running-tasks-on-ios-and-ipados
18,捕获与感知,麦克风录音,已有语音输入/VAD,getUserMedia/MediaRecorder已有,前台启动,麦克风权限、来电/耳机切换、音频session,录音/转写/整理分段，取消全部资源，不留孤儿会话,P1,https://developer.apple.com/documentation/speech/speechanalyzer
19,捕获与感知,系统离线语音转写,SFSpeechRecognizer已有；Offline会静默放开服务端,现有语音输入需本地引擎,原生/可选模型,严格离线不得自动转在线；语言、设备、模型可用性,修Offline策略，优先SpeechAnalyzer；旧接口显式降级,P0,https://developer.apple.com/documentation/speech/speechanalyzer
20,捕获与感知,可选中文离线ASR,未引入WhisperKit/whisper.cpp正式引擎,同左,可选下载,模型许可、大小、温度、静音幻觉,相同语料A/B，二选一，按需下载可删除,P2,https://developer.apple.com/documentation/speech/speechtranscriber
21,捕获与感知,朗读/TTS,Speak与系统/第三方TTS已有,已有语音能力但统一生命周期待补,原生或显式云端,与录音互斥；声音选择和用户隐私偏好,同一播放状态、暂停/继续、耳机断开与来电恢复,P1,https://developer.apple.com/documentation/avfaudio/avspeechsynthesizer
22,捕获与感知,音视频播放/进度/倍速,Player已有pause/seek等,浏览器媒体+文件基础,应用会话,操作自有播放或公开媒体接口；不等于控制所有App,统一播放器与Now Playing/控制中心适配,P1,https://developer.apple.com/documentation/mediaplayer
23,捕获与感知,媒体库搜索/播放,Media已有,依用户媒体授权/供应商,系统授权,媒体库许可/订阅/地区，分开本地和流媒体,能力条目真实状态与播放结果，不走免授权标签,P1,https://developer.apple.com/documentation/mediaplayer
24,捕获与感知,屏幕录制/共享内容,26线未形成统一录屏工具,exact-window不是屏幕采集实现,用户启动系统UI,26线评估ReplayKit；Mac用公开ScreenCaptureKit；敏感画面用户选范围,先Mac内容选择器+受控采集；iOS26独立研究验证,P1/P2,https://developer.apple.com/documentation/replaykit
25,捕获与感知,iOS27 ScreenCaptureKit,当前SDK26.6不能验收该新API,Mac12.3起公开框架可独立使用,版本隔离,Apple当日文档iOS/iPadOS introducedAt=27.0；新SDK+运行时双门禁,下一SDK影子构建与能力协商；不提高当前26线承诺,27轨,https://developer.apple.com/documentation/screencapturekit
26,捕获与感知,任意其他iPhone App自动点击,无通用公开能力,Mac AX是另一平台边界,受限,录屏/看见不等于注入点击；AppIntents不是任意系统控制,优先公开API/Shortcut/第三方集成，无法做则交接用户,边界,https://support.apple.com/guide/security/security-of-runtime-process-sec15bfe098e/web
27,个人事务,日历查询/创建/更新,Calendar已实现,建议窄原生EventKit适配,系统授权,只写/全读、重复事件范围、时区DST,预览范围→幂等写→ID回读；与已有handler共享,P1,https://developer.apple.com/documentation/eventkit
28,个人事务,提醒事项/完成/删除,Reminders复用Calendar已有,可增EventKit适配,系统授权,同名清单/重复项/到期语义、不可盲目重试,离线自然语言高频直达、重复提交不重复创建,P1,https://developer.apple.com/documentation/eventkit
29,个人事务,系统级闹钟/计时器,AlarmKit已有set/timer/list/cancel,无原生macOS同等AlarmKit承诺,系统授权,管理本App创建的闹钟；不是Clock中所有闹钟,复用authorizationState，真实响铃/取消/重启验证,P1,https://developer.apple.com/documentation/alarmkit
30,个人事务,通讯录查询/变更,Contacts已有,可增Contacts原生适配,系统授权,受限联系人、字段最小化、同名歧义,read和write分别授权；新增联系人前预览并回读,P1,https://developer.apple.com/documentation/contacts
31,个人事务,拨号/FaceTime交接,Open tel等已有,公开URL/Continuity交接,系统UI,打开界面≠拨通；用户完成通话操作,prepared/presented状态与目标确认,P1,https://support.apple.com/guide/security/security-of-runtime-process-sec15bfe098e/web
